firstname, lastname, Milestones, Cum, weekYear
anonfirstname1, anonlastname1, 1170, 1170, 38
anonfirstname2, anonlastname2, , , 38
anonfirstname3, anonlastname3, , , 38
anonfirstname1, anonlastname1, , 1170, 39
anonfirstname2, anonlastname2, 1998, 1998, 39
anonfirstname3, anonlastname3, , , 39
anonfirstname1, anonlastname1, , 1170, 40
anonfirstname2, anonlastname2, , 1998, 40
anonfirstname3, anonlastname3, 162, 162, 40
anonfirstname1, anonlastname1, , 1170, 41
anonfirstname2, anonlastname2, 431, 2429, 41
anonfirstname3, anonlastname3, 2582, 2744, 41
anonfirstname1, anonlastname1, 2255, 3425, 42
anonfirstname2, anonlastname2, , 2429, 42
anonfirstname3, anonlastname3, , 2744, 42
anonfirstname1, anonlastname1, , 3425, 43
anonfirstname2, anonlastname2, 1964, 4393, 43
anonfirstname3, anonlastname3, 238, 2982, 43
anonfirstname1, anonlastname1, 2771, 6196, 44
anonfirstname2, anonlastname2, , 4393, 44
anonfirstname3, anonlastname3, , 2982, 44
anonfirstname1, anonlastname1, 3287, 9483, 45
anonfirstname2, anonlastname2, 1955, 6348, 45
anonfirstname3, anonlastname3, , 2982, 45
anonfirstname1, anonlastname1, , 9483, 46
anonfirstname2, anonlastname2, , 6348, 46
anonfirstname3, anonlastname3, 375, 3357, 46
anonfirstname1, anonlastname1, , 9483, 47
anonfirstname2, anonlastname2, 199, 6547, 47
anonfirstname3, anonlastname3, 8, 3365, 47
anonfirstname1, anonlastname1, 4349, 13832, 48
anonfirstname2, anonlastname2, , 6547, 48
anonfirstname3, anonlastname3, , 3365, 48
anonfirstname1, anonlastname1, , 13832, 49
anonfirstname2, anonlastname2, , 6547, 49
anonfirstname3, anonlastname3, 259, 3624, 49
anonfirstname1, anonlastname1, 399, 14231, 50
anonfirstname2, anonlastname2, 3949, 10496, 50
anonfirstname3, anonlastname3, , 3624, 50
anonfirstname1, anonlastname1, , 14231, 51
anonfirstname2, anonlastname2, , 10496, 51
anonfirstname3, anonlastname3, , 3624, 51
anonfirstname1, anonlastname1, , 14231, 52
anonfirstname2, anonlastname2, , 10496, 52
anonfirstname3, anonlastname3, , 3624, 52
