firstname, lastname, Milestones, Cum, weekYear
anonfirstname1, anonlastname1, , , 38
anonfirstname2, anonlastname2, , , 38
anonfirstname3, anonlastname3, , , 38
anonfirstname1, anonlastname1, 2180, 2180, 39
anonfirstname2, anonlastname2, , , 39
anonfirstname3, anonlastname3, , , 39
anonfirstname1, anonlastname1, , 2180, 40
anonfirstname2, anonlastname2, , , 40
anonfirstname3, anonlastname3, , , 40
anonfirstname1, anonlastname1, , 2180, 41
anonfirstname2, anonlastname2, , , 41
anonfirstname3, anonlastname3, , , 41
anonfirstname1, anonlastname1, , 2180, 42
anonfirstname2, anonlastname2, , , 42
anonfirstname3, anonlastname3, , , 42
anonfirstname1, anonlastname1, , 2180, 43
anonfirstname2, anonlastname2, , , 43
anonfirstname3, anonlastname3, , , 43
anonfirstname1, anonlastname1, , 2180, 44
anonfirstname2, anonlastname2, , , 44
anonfirstname3, anonlastname3, , , 44
anonfirstname1, anonlastname1, , 2180, 45
anonfirstname2, anonlastname2, , , 45
anonfirstname3, anonlastname3, , , 45
anonfirstname1, anonlastname1, , 2180, 46
anonfirstname2, anonlastname2, , , 46
anonfirstname3, anonlastname3, , , 46
anonfirstname1, anonlastname1, , 2180, 47
anonfirstname2, anonlastname2, , , 47
anonfirstname3, anonlastname3, , , 47
anonfirstname1, anonlastname1, , 2180, 48
anonfirstname2, anonlastname2, , , 48
anonfirstname3, anonlastname3, , , 48
anonfirstname1, anonlastname1, , 2180, 49
anonfirstname2, anonlastname2, , , 49
anonfirstname3, anonlastname3, , , 49
anonfirstname1, anonlastname1, , 2180, 50
anonfirstname2, anonlastname2, , , 50
anonfirstname3, anonlastname3, , , 50
anonfirstname1, anonlastname1, 7232, 9412, 51
anonfirstname2, anonlastname2, 36, 36, 51
anonfirstname3, anonlastname3, , , 51
anonfirstname1, anonlastname1, 363, 9775, 52
anonfirstname2, anonlastname2, , 36, 52
anonfirstname3, anonlastname3, 10, 10, 52
