firstname, lastname, Milestones, Cum, weekYear
anonfirstname1, anonlastname1, , , 38
anonfirstname2, anonlastname2, , , 38
anonfirstname3, anonlastname3, , , 38
anonfirstname1, anonlastname1, 72, 72, 39
anonfirstname2, anonlastname2, 96, 96, 39
anonfirstname3, anonlastname3, 0, 0, 39
anonfirstname1, anonlastname1, , 72, 40
anonfirstname2, anonlastname2, , 96, 40
anonfirstname3, anonlastname3, , 0, 40
anonfirstname1, anonlastname1, 361, 433, 41
anonfirstname2, anonlastname2, , 96, 41
anonfirstname3, anonlastname3, 1, 1, 41
anonfirstname1, anonlastname1, , 433, 42
anonfirstname2, anonlastname2, , 96, 42
anonfirstname3, anonlastname3, , 1, 42
anonfirstname1, anonlastname1, , 433, 43
anonfirstname2, anonlastname2, , 96, 43
anonfirstname3, anonlastname3, , 1, 43
anonfirstname1, anonlastname1, , 433, 44
anonfirstname2, anonlastname2, 176, 272, 44
anonfirstname3, anonlastname3, , 1, 44
anonfirstname1, anonlastname1, 1257, 1690, 45
anonfirstname2, anonlastname2, 233, 505, 45
anonfirstname3, anonlastname3, 44, 45, 45
anonfirstname1, anonlastname1, , 1690, 46
anonfirstname2, anonlastname2, , 505, 46
anonfirstname3, anonlastname3, , 45, 46
anonfirstname1, anonlastname1, 447, 2137, 47
anonfirstname2, anonlastname2, 2, 507, 47
anonfirstname3, anonlastname3, , 45, 47
anonfirstname1, anonlastname1, , 2137, 48
anonfirstname2, anonlastname2, , 507, 48
anonfirstname3, anonlastname3, , 45, 48
anonfirstname1, anonlastname1, , 2137, 49
anonfirstname2, anonlastname2, , 507, 49
anonfirstname3, anonlastname3, , 45, 49
anonfirstname1, anonlastname1, 273, 2410, 50
anonfirstname2, anonlastname2, 3, 510, 50
anonfirstname3, anonlastname3, , 45, 50
anonfirstname1, anonlastname1, , 2410, 51
anonfirstname2, anonlastname2, , 510, 51
anonfirstname3, anonlastname3, , 45, 51
anonfirstname1, anonlastname1, , 2410, 52
anonfirstname2, anonlastname2, , 510, 52
anonfirstname3, anonlastname3, , 45, 52
