firstname, lastname, Milestones, Cum, weekYear
anonfirstname1, anonlastname1, , , 38
anonfirstname2, anonlastname2, , , 38
anonfirstname3, anonlastname3, , , 38
anonfirstname1, anonlastname1, 5439, 5439, 39
anonfirstname2, anonlastname2, , , 39
anonfirstname3, anonlastname3, , , 39
anonfirstname1, anonlastname1, 153, 5592, 40
anonfirstname2, anonlastname2, , , 40
anonfirstname3, anonlastname3, , , 40
anonfirstname1, anonlastname1, 2849, 8441, 41
anonfirstname2, anonlastname2, , , 41
anonfirstname3, anonlastname3, , , 41
anonfirstname1, anonlastname1, 1593, 10034, 42
anonfirstname2, anonlastname2, 2275, 2275, 42
anonfirstname3, anonlastname3, , , 42
anonfirstname1, anonlastname1, , 10034, 43
anonfirstname2, anonlastname2, , 2275, 43
anonfirstname3, anonlastname3, , , 43
anonfirstname1, anonlastname1, , 10034, 44
anonfirstname2, anonlastname2, , 2275, 44
anonfirstname3, anonlastname3, , , 44
anonfirstname1, anonlastname1, , 10034, 45
anonfirstname2, anonlastname2, , 2275, 45
anonfirstname3, anonlastname3, , , 45
anonfirstname1, anonlastname1, , 10034, 46
anonfirstname2, anonlastname2, , 2275, 46
anonfirstname3, anonlastname3, , , 46
anonfirstname1, anonlastname1, , 10034, 47
anonfirstname2, anonlastname2, , 2275, 47
anonfirstname3, anonlastname3, , , 47
anonfirstname1, anonlastname1, , 10034, 48
anonfirstname2, anonlastname2, , 2275, 48
anonfirstname3, anonlastname3, , , 48
anonfirstname1, anonlastname1, , 10034, 49
anonfirstname2, anonlastname2, , 2275, 49
anonfirstname3, anonlastname3, , , 49
anonfirstname1, anonlastname1, , 10034, 50
anonfirstname2, anonlastname2, , 2275, 50
anonfirstname3, anonlastname3, , , 50
anonfirstname1, anonlastname1, , 10034, 51
anonfirstname2, anonlastname2, , 2275, 51
anonfirstname3, anonlastname3, , , 51
anonfirstname1, anonlastname1, , 10034, 52
anonfirstname2, anonlastname2, , 2275, 52
anonfirstname3, anonlastname3, , , 52
